id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
MX94dI81/,MX94dI8135,35,31,Attempt saved. Salomon Kalou (Hertha Berlin) right footed shot from the right side of the box is saved in the centre of the goal. Assisted by Vedad Ibisevic.,1,12.0,2,Hertha Berlin,Werder Bremen,salomon kalou,vedad ibisevic,,,5.0,1.0,0,11.0,1.0,1,1.0,0
MX94dI81/,MX94dI8136,36,31,Genki Haraguchi (Hertha Berlin) hits the bar with a left footed shot from the left side of the box.,1,,2,Hertha Berlin,Werder Bremen,genki haraguchi,,,,7.0,4.0,0,9.0,2.0,0,1.0,0
MX94dI81/,MX94dI8137,37,32,Foul by Claudio Pizarro (SV Werder Bremen).,3,,1,Werder Bremen,Hertha Berlin,claudio pizarro,,,,,,0,,,0,,0
MX94dI81/,MX94dI8138,38,32,Mitchell Weiser (Hertha Berlin) wins a free kick on the right wing.,8,,2,Hertha Berlin,Werder Bremen,mitchell weiser,,,,,,0,5.0,,0,,0
MX94dI81/,MX94dI8139,39,33,"Corner,  Hertha Berlin. Conceded by Florian Grillitsch.",2,,2,Hertha Berlin,Werder Bremen,florian grillitsch,florian grillitsch,,,,,0,,,0,,0
MX94dI81/,MX94dI8140,40,34,Foul by Clemens Fritz (SV Werder Bremen).,3,,1,Werder Bremen,Hertha Berlin,clemens fritz,,,,,,0,,,0,,0
MX94dI81/,MX94dI8141,41,34,"Attempt missed. Fabian Lustenberger (Hertha Berlin) header from the centre of the box is close, but misses to the right. Assisted by Marvin Plattenhardt with a cross.",1,12.0,2,Hertha Berlin,Werder Bremen,fabian lustenberger,marvin plattenhardt,,,9.0,2.0,0,3.0,3.0,2,1.0,0
MX94dI81/,MX94dI8142,42,34,Vedad Ibisevic (Hertha Berlin) wins a free kick in the defensive half.,8,,2,Hertha Berlin,Werder Bremen,vedad ibisevic,,,,,,0,2.0,,0,,0
MX94dI81/,MX94dI8143,43,38,"Corner,  Hertha Berlin. Conceded by Florian Grillitsch.",2,,2,Hertha Berlin,Werder Bremen,florian grillitsch,florian grillitsch,,,,,0,,,0,,0
MX94dI81/,MX94dI8144,44,38,Attempt missed. Fabian Lustenberger (Hertha Berlin) header from the centre of the box is high and wide to the right. Assisted by Marvin Plattenhardt with a cross following a corner.,1,12.0,2,Hertha Berlin,Werder Bremen,fabian lustenberger,marvin plattenhardt,,,6.0,2.0,0,3.0,3.0,2,3.0,0
MX94dI81/,MX94dI8145,45,40,Foul by Santiago Garcia (SV Werder Bremen).,3,,1,Werder Bremen,Hertha Berlin,santiago garcia,,,,,,0,,,0,,0
MX94dI81/,MX94dI8146,46,40,Santiago Garcia (SV Werder Bremen) is shown the yellow card for a bad foul.,4,,1,Werder Bremen,Hertha Berlin,santiago garcia,,,,,,0,,,0,,0
MX94dI81/,MX94dI8147,47,40,Mitchell Weiser (Hertha Berlin) wins a free kick in the attacking half.,8,,2,Hertha Berlin,Werder Bremen,mitchell weiser,,,,,,0,1.0,,0,,0
MX94dI81/,MX94dI8148,48,41,"Goal!  SV Werder Bremen 0, Hertha Berlin 2. Marvin Plattenhardt (Hertha Berlin) from a free kick with a left footed shot to the top left corner.",1,,2,Hertha Berlin,Werder Bremen,marvin plattenhardt,,,,12.0,1.0,1,19.0,2.0,0,4.0,0
MX94dI81/,MX94dI8149,49,43,Foul by Claudio Pizarro (SV Werder Bremen).,3,,1,Werder Bremen,Hertha Berlin,claudio pizarro,,,,,,0,,,0,,0
MX94dI81/,MX94dI8150,50,43,Mitchell Weiser (Hertha Berlin) wins a free kick in the defensive half.,8,,2,Hertha Berlin,Werder Bremen,mitchell weiser,,,,,,0,2.0,,0,,0
MX94dI81/,MX94dI8151,51,44,Claudio Pizarro (SV Werder Bremen) wins a free kick on the left wing.,8,,1,Werder Bremen,Hertha Berlin,claudio pizarro,,,,,,0,4.0,,0,,0
MX94dI81/,MX94dI8152,52,44,Zlatko Junuzovic (SV Werder Bremen) wins a free kick in the attacking half.,8,,1,Werder Bremen,Hertha Berlin,zlatko junuzovic,,,,,,0,1.0,,0,,0
MX94dI81/,MX94dI8153,53,44,Foul by Fabian Lustenberger (Hertha Berlin).,3,,2,Hertha Berlin,Werder Bremen,fabian lustenberger,,,,,,0,,,0,,0
MX94dI81/,MX94dI8154,54,44,Foul by John Brooks (Hertha Berlin).,3,,2,Hertha Berlin,Werder Bremen,john brooks,,,,,,0,,,0,,0
MX94dI81/,MX94dI8155,55,45,Attempt saved. Papy Djilobodji (SV Werder Bremen) right footed shot from outside the box is saved in the top right corner.,1,,1,Werder Bremen,Hertha Berlin,papy djilobodji,,,,13.0,1.0,0,15.0,1.0,0,1.0,0
MX94dI81/,MX94dI8156,56,45,"Corner,  SV Werder Bremen. Conceded by Rune Jarstein.",2,,1,Werder Bremen,Hertha Berlin,rune jarstein,rune jarstein,,,,,0,,,0,,0
MX94dI81/,MX94dI8157,57,45,"Corner,  SV Werder Bremen. Conceded by Marvin Plattenhardt.",2,,1,Werder Bremen,Hertha Berlin,marvin plattenhardt,marvin plattenhardt,,,,,0,,,0,,0
MX94dI81/,MX94dI8158,58,45,Attempt missed. Jannik Vestergaard (SV Werder Bremen) header from the left side of the six yard box is too high. Assisted by Zlatko Junuzovic with a cross following a corner.,1,12.0,1,Werder Bremen,Hertha Berlin,jannik vestergaard,zlatko junuzovic,,,10.0,2.0,0,10.0,3.0,2,3.0,0
MX94dI81/,MX94dI8159,59,45,"Substitution, SV Werder Bremen. Fin Bartels replaces Levin Oztunali.",7,,1,Werder Bremen,Hertha Berlin,,,fin bartels,levin oztunali,,,0,,,0,,0
MX94dI81/,MX94dI8160,60,46,Fin Bartels (SV Werder Bremen) wins a free kick in the attacking half.,8,,1,Werder Bremen,Hertha Berlin,fin bartels,,,,,,0,1.0,,0,,0
MX94dI81/,MX94dI8161,61,46,Foul by Per Skjelbred (Hertha Berlin).,3,,2,Hertha Berlin,Werder Bremen,per skjelbred,,,,,,0,,,0,,0
MX94dI81/,MX94dI8162,62,46,Per Skjelbred (Hertha Berlin) is shown the yellow card for a bad foul.,4,,2,Hertha Berlin,Werder Bremen,per skjelbred,,,,,,0,,,0,,0
MX94dI81/,MX94dI8163,63,48,Foul by Clemens Fritz (SV Werder Bremen).,3,,1,Werder Bremen,Hertha Berlin,clemens fritz,,,,,,0,,,0,,0
MX94dI81/,MX94dI8164,64,48,Clemens Fritz (SV Werder Bremen) is shown the yellow card for a bad foul.,4,,1,Werder Bremen,Hertha Berlin,clemens fritz,,,,,,0,,,0,,0
MX94dI81/,MX94dI8165,65,48,Fabian Lustenberger (Hertha Berlin) wins a free kick in the defensive half.,8,,2,Hertha Berlin,Werder Bremen,fabian lustenberger,,,,,,0,2.0,,0,,0
MX94dI81/,MX94dI8166,66,49,"Offside, Hertha Berlin. Vladimir Darida tries a through ball, but Salomon Kalou is caught offside.",9,13.0,2,Hertha Berlin,Werder Bremen,salomon kalou,vladimir darida,,,,,0,,,0,,0
MX94dI81/,MX94dI8167,67,50,Attempt missed. Salomon Kalou (Hertha Berlin) right footed shot from the left side of the box misses to the right. Assisted by Vladimir Darida.,1,12.0,2,Hertha Berlin,Werder Bremen,salomon kalou,vladimir darida,,,9.0,2.0,0,9.0,1.0,1,1.0,0
MX94dI81/,MX94dI8168,68,52,Zlatko Junuzovic (SV Werder Bremen) wins a free kick in the attacking half.,8,,1,Werder Bremen,Hertha Berlin,zlatko junuzovic,,,,,,0,1.0,,0,,0
MX94dI81/,MX94dI8169,69,52,Attempt blocked. Florian Grillitsch (SV Werder Bremen) right footed shot from outside the box is blocked.,1,,1,Werder Bremen,Hertha Berlin,florian grillitsch,,,,2.0,3.0,0,15.0,1.0,0,1.0,0
MX94dI81/,MX94dI8170,70,52,Foul by Genki Haraguchi (Hertha Berlin).,3,,2,Hertha Berlin,Werder Bremen,genki haraguchi,,,,,,0,,,0,,0
MX94dI81/,MX94dI8171,71,53,Foul by Papy Djilobodji (SV Werder Bremen).,3,,1,Werder Bremen,Hertha Berlin,papy djilobodji,,,,,,0,,,0,,0
MX94dI81/,MX94dI8172,72,53,Papy Djilobodji (SV Werder Bremen) is shown the yellow card for a bad foul.,4,,1,Werder Bremen,Hertha Berlin,papy djilobodji,,,,,,0,,,0,,0
MX94dI81/,MX94dI8173,73,53,Vedad Ibisevic (Hertha Berlin) wins a free kick in the attacking half.,8,,2,Hertha Berlin,Werder Bremen,vedad ibisevic,,,,,,0,1.0,,0,,0
MX94dI81/,MX94dI8174,74,54,Papy Djilobodji (SV Werder Bremen) wins a free kick in the defensive half.,8,,1,Werder Bremen,Hertha Berlin,papy djilobodji,,,,,,0,2.0,,0,,0
MX94dI81/,MX94dI8175,75,54,Foul by Salomon Kalou (Hertha Berlin).,3,,2,Hertha Berlin,Werder Bremen,salomon kalou,,,,,,0,,,0,,0
MX94dI81/,MX94dI8176,76,57,Foul by Florian Grillitsch (SV Werder Bremen).,3,,1,Werder Bremen,Hertha Berlin,florian grillitsch,,,,,,0,,,0,,0
